rect,N,seed,Shat
narrow,100,123456,0.9500000000
narrow,600,123456,0.9375000000
narrow,1100,123456,0.9590909091
narrow,1600,123456,0.9609375000
narrow,2100,123456,0.9714285714
narrow,2600,123456,0.9677884615
narrow,3100,123456,0.9673387097
narrow,3600,123456,0.9576388889
narrow,4100,123456,0.9570121951
narrow,4600,123456,0.9611413043
narrow,5100,123456,0.9590686275
narrow,5600,123456,0.9564732143
narrow,6100,123456,0.9543032787
narrow,6600,123456,0.9524621212
narrow,7100,123456,0.9529929577
narrow,7600,123456,0.9529605263
narrow,8100,123456,0.9520061728
narrow,8600,123456,0.9521802326
narrow,9100,123456,0.9509615385
narrow,9600,123456,0.9507812500
narrow,10100,123456,0.9491336634
narrow,10600,123456,0.9484669811
narrow,11100,123456,0.9478603604
narrow,11600,123456,0.9467672414
narrow,12100,123456,0.9478305785
narrow,12600,123456,0.9487103175
narrow,13100,123456,0.9483778626
narrow,13600,123456,0.9475183824
narrow,14100,123456,0.9450354610
narrow,14600,123456,0.9442636986
narrow,15100,123456,0.9440397351
narrow,15600,123456,0.9428685897
narrow,16100,123456,0.9426242236
narrow,16600,123456,0.9421686747
narrow,17100,123456,0.9420321637
narrow,17600,123456,0.9419034091
narrow,18100,123456,0.9412292818
narrow,18600,123456,0.9413978495
narrow,19100,123456,0.9411649215
narrow,19600,123456,0.9408163265
narrow,20100,123456,0.9405472637
narrow,20600,123456,0.9409587379
narrow,21100,123456,0.9404028436
narrow,21600,123456,0.9415509259
narrow,22100,123456,0.9419117647
narrow,22600,123456,0.9423119469
narrow,23100,123456,0.9415584416
narrow,23600,123456,0.9420550847
narrow,24100,123456,0.9422199170
narrow,24600,123456,0.9423780488
narrow,25100,123456,0.9429780876
narrow,25600,123456,0.9423828125
narrow,26100,123456,0.9426245211
narrow,26600,123456,0.9424342105
narrow,27100,123456,0.9425738007
narrow,27600,123456,0.9429800725
narrow,28100,123456,0.9434608541
narrow,28600,123456,0.9438811189
narrow,29100,123456,0.9435137457
narrow,29600,123456,0.9433277027
narrow,30100,123456,0.9433970100
narrow,30600,123456,0.9438316993
narrow,31100,123456,0.9444131833
narrow,31600,123456,0.9441455696
narrow,32100,123456,0.9443535826
narrow,32600,123456,0.9439800613
narrow,33100,123456,0.9442975831
narrow,33600,123456,0.9444196429
narrow,34100,123456,0.9448313783
narrow,34600,123456,0.9449783237
narrow,35100,123456,0.9448361823
narrow,35600,123456,0.9450491573
narrow,36100,123456,0.9450831025
narrow,36600,123456,0.9451161202
narrow,37100,123456,0.9452493261
narrow,37600,123456,0.9452127660
narrow,38100,123456,0.9453083990
narrow,38600,123456,0.9451424870
narrow,39100,123456,0.9450447570
narrow,39600,123456,0.9451388889
narrow,40100,123456,0.9451995012
narrow,40600,123456,0.9448275862
narrow,41100,123456,0.9451946472
narrow,41600,123456,0.9454927885
narrow,42100,123456,0.9451009501
narrow,42600,123456,0.9454518779
narrow,43100,123456,0.9454756381
narrow,43600,123456,0.9455848624
narrow,44100,123456,0.9447845805
narrow,44600,123456,0.9446188341
narrow,45100,123456,0.9442627494
narrow,45600,123456,0.9444627193
narrow,46100,123456,0.9445770065
narrow,46600,123456,0.9449302575
narrow,47100,123456,0.9449575372
narrow,47600,123456,0.9450105042
narrow,48100,123456,0.9450883576
narrow,48600,123456,0.9451646091
narrow,49100,123456,0.9451374745
narrow,49600,123456,0.9450352823
narrow,50100,123456,0.9446357285
narrow,50600,123456,0.9442934783
narrow,51100,123456,0.9440557730
narrow,51600,123456,0.9439680233
narrow,52100,123456,0.9441938580
narrow,52600,123456,0.9445104563
narrow,53100,123456,0.9444915254
narrow,53600,123456,0.9440298507
narrow,54100,123456,0.9441312384
narrow,54600,123456,0.9444826007
narrow,55100,123456,0.9443965517
narrow,55600,123456,0.9440872302
narrow,56100,123456,0.9444073084
narrow,56600,123456,0.9443683746
narrow,57100,123456,0.9442863398
narrow,57600,123456,0.9443142361
narrow,58100,123456,0.9441910499
narrow,58600,123456,0.9441552901
narrow,59100,123456,0.9437605753
narrow,59600,123456,0.9436661074
narrow,60100,123456,0.9434068220
narrow,60600,123456,0.9436468647
narrow,61100,123456,0.9433919804
narrow,61600,123456,0.9437500000
narrow,62100,123456,0.9437801932
narrow,62600,123456,0.9439496805
narrow,63100,123456,0.9437004754
narrow,63600,123456,0.9436910377
narrow,64100,123456,0.9435842434
narrow,64600,123456,0.9432662539
narrow,65100,123456,0.9431067588
narrow,65600,123456,0.9429687500
narrow,66100,123456,0.9427004539
narrow,66600,123456,0.9426051051
narrow,67100,123456,0.9426415797
narrow,67600,123456,0.9427144970
narrow,68100,123456,0.9427129222
narrow,68600,123456,0.9427478134
narrow,69100,123456,0.9425470333
narrow,69600,123456,0.9426364943
narrow,70100,123456,0.9428316690
narrow,70600,123456,0.9428647309
narrow,71100,123456,0.9428973277
narrow,71600,123456,0.9429818436
narrow,72100,123456,0.9432905687
narrow,72600,123456,0.9431301653
narrow,73100,123456,0.9433139535
narrow,73600,123456,0.9430706522
narrow,74100,123456,0.9430668016
narrow,74600,123456,0.9429457105
narrow,75100,123456,0.9428428762
narrow,75600,123456,0.9428902116
narrow,76100,123456,0.9429697766
narrow,76600,123456,0.9430646214
narrow,77100,123456,0.9428826200
narrow,77600,123456,0.9425579897
narrow,78100,123456,0.9424295775
narrow,78600,123456,0.9424300254
narrow,79100,123456,0.9424778761
narrow,79600,123456,0.9424780151
narrow,80100,123456,0.9422284644
narrow,80600,123456,0.9420905707
narrow,81100,123456,0.9420468557
narrow,81600,123456,0.9420189951
narrow,82100,123456,0.9421894032
narrow,82600,123456,0.9423880145
narrow,83100,123456,0.9422683514
narrow,83600,123456,0.9423893541
narrow,84100,123456,0.9427467301
narrow,84600,123456,0.9425384161
narrow,85100,123456,0.9424794360
narrow,85600,123456,0.9423919393
narrow,86100,123456,0.9423780488
narrow,86600,123456,0.9424653580
narrow,87100,123456,0.9423076923
narrow,87600,123456,0.9422517123
narrow,88100,123456,0.9422389330
narrow,88600,123456,0.9423391648
narrow,89100,123456,0.9424242424
narrow,89600,123456,0.9424804688
narrow,90100,123456,0.9427441731
narrow,90600,123456,0.9428532009
narrow,91100,123456,0.9429061471
narrow,91600,123456,0.9430131004
narrow,92100,123456,0.9429153094
narrow,92600,123456,0.9428185745
narrow,93100,123456,0.9429914071
narrow,93600,123456,0.9429620726
narrow,94100,123456,0.9430526036
narrow,94600,123456,0.9430364693
narrow,95100,123456,0.9429942166
narrow,95600,123456,0.9429654812
narrow,96100,123456,0.9430020812
narrow,96600,123456,0.9431547619
narrow,97100,123456,0.9428810505
narrow,97600,123456,0.9428534836
narrow,98100,123456,0.9428007136
narrow,98600,123456,0.9429639959
narrow,99100,123456,0.9429490414
narrow,99600,123456,0.9428714859
wide,100,123456,0.7777708764
wide,600,123456,0.8749922360
wide,1100,123456,1.0075668172
wide,1600,123456,1.0208242753
wide,2100,123456,1.0462870123
wide,2600,123456,1.0432599736
wide,3100,123456,1.0631626093
wide,3600,123456,1.0208242753
wide,4100,123456,1.0101536383
wide,4600,123456,1.0144837518
wide,5100,123456,1.0046207154
wide,5600,123456,1.0017272225
wide,6100,123456,1.0120584150
wide,6600,123456,1.0105129190
wide,7100,123456,1.0064464686
wide,7600,123456,0.9875643365
wide,8100,123456,0.9674125407
wide,8600,123456,0.9631697481
wide,9100,123456,0.9647350294
wide,9600,123456,0.9630990930
wide,10100,123456,0.9577747797
wide,10600,123456,0.9529527601
wide,11100,123456,0.9652066507
wide,11600,123456,0.9663467893
wide,12100,123456,0.9553404670
wide,12600,123456,0.9575532318
wide,13100,123456,0.9640499699
wide,13600,123456,0.9550568850
wide,14100,123456,0.9529072262
wide,14600,123456,0.9502389046
wide,15100,123456,0.9541857937
wide,15600,123456,0.9510243248
wide,16100,123456,0.9559093923
wide,16600,123456,0.9511294452
wide,17100,123456,0.9483346651
wide,17600,123456,0.9468034674
wide,18100,123456,0.9453568663
wide,18600,123456,0.9492149943
wide,19100,123456,0.9472719902
wide,19600,123456,0.9493963376
wide,20100,123456,0.9538334380
wide,20600,123456,0.9561673517
wide,21100,123456,0.9560868297
wide,21600,123456,0.9596108267
wide,22100,123456,0.9568165476
wide,22600,123456,0.9575873733
wide,23100,123456,0.9553787280
wide,23600,123456,0.9573832186
wide,24100,123456,0.9536568215
wide,24600,123456,0.9552196180
wide,25100,123456,0.9605935127
wide,25600,123456,0.9581620709
wide,26100,123456,0.9617837178
wide,26600,123456,0.9597868052
wide,27100,123456,0.9600160818
wide,27600,123456,0.9634073129
wide,28100,123456,0.9635640084
wide,28600,123456,0.9616756160
wide,29100,123456,0.9638612450
wide,29600,123456,0.9600609256
wide,30100,123456,0.9583248299
wide,30600,123456,0.9582340536
wide,31100,123456,0.9559579341
wide,31600,123456,0.9534461812
wide,32100,123456,0.9540413788
wide,32600,123456,0.9525307436
wide,33100,123456,0.9504783067
wide,33600,123456,0.9522484949
wide,34100,123456,0.9528263449
wide,34600,123456,0.9553544002
wide,35100,123456,0.9519937686
wide,35600,123456,0.9539163172
wide,36100,123456,0.9541697421
wide,36600,123456,0.9536193464
wide,37100,123456,0.9530837862
wide,37600,123456,0.9517867673
wide,38100,123456,0.9510341392
wide,38600,123456,0.9508047469
wide,39100,123456,0.9515758133
wide,39600,123456,0.9483992726
wide,40100,123456,0.9482113147
wide,40600,123456,0.9470701404
wide,41100,123456,0.9454836353
wide,41600,123456,0.9474408452
wide,42100,123456,0.9498134248
wide,42600,123456,0.9477941460
wide,43100,123456,0.9480774343
wide,43600,123456,0.9465703470
wide,44100,123456,0.9468610868
wide,44600,123456,0.9451834417
wide,45100,123456,0.9478543635
wide,45600,123456,0.9474818461
wide,46100,123456,0.9502807942
wide,46600,123456,0.9494729771
wide,47100,123456,0.9507464588
wide,47600,123456,0.9513804470
wide,48100,123456,0.9522033780
wide,48600,123456,0.9524092445
wide,49100,123456,0.9516208839
wide,49600,123456,0.9504563961
wide,50100,123456,0.9469864962
wide,50600,123456,0.9468515017
wide,51100,123456,0.9461483778
wide,51600,123456,0.9467777747
wide,52100,123456,0.9451558275
wide,52600,123456,0.9441192102
wide,53100,123456,0.9449330257
wide,53600,123456,0.9442805929
wide,54100,123456,0.9434605132
wide,54600,123456,0.9439018809
wide,55100,123456,0.9441587930
wide,55600,123456,0.9445859430
wide,56100,123456,0.9453520790
wide,56600,123456,0.9435281414
wide,57100,123456,0.9453117132
wide,57600,123456,0.9465579590
wide,58100,123456,0.9472807511
wide,58600,123456,0.9469957684
wide,59100,123456,0.9440835575
wide,59600,123456,0.9452982862
wide,60100,123456,0.9442280794
wide,60600,123456,0.9439776891
wide,61100,123456,0.9429358047
wide,61600,123456,0.9419108341
wide,62100,123456,0.9412154809
wide,62600,123456,0.9408418469
wide,63100,123456,0.9390874587
wide,63600,123456,0.9384307017
wide,64100,123456,0.9382392046
wide,64600,123456,0.9382011694
wide,65100,123456,0.9368196443
wide,65600,123456,0.9375340252
wide,66100,123456,0.9379434340
wide,66600,123456,0.9382007175
wide,67100,123456,0.9400479594
wide,67600,123456,0.9411487824
wide,68100,123456,0.9393781877
wide,68600,123456,0.9380585698
wide,69100,123456,0.9388684982
wide,69600,123456,0.9388286746
wide,70100,123456,0.9398989353
wide,70600,123456,0.9399900854
wide,71100,123456,0.9404901702
wide,71600,123456,0.9424768947
wide,72100,123456,0.9418740589
wide,72600,123456,0.9407438717
wide,73100,123456,0.9410921206
wide,73600,123456,0.9407751667
wide,74100,123456,0.9413809106
wide,74600,123456,0.9415875640
wide,75100,123456,0.9428271127
wide,75600,123456,0.9427642683
wide,76100,123456,0.9429577593
wide,76600,123456,0.9442910118
wide,77100,123456,0.9434633102
wide,77600,123456,0.9430221306
wide,78100,123456,0.9420886672
wide,78600,123456,0.9438882885
wide,79100,123456,0.9446818831
wide,79600,123456,0.9466868817
wide,80100,123456,0.9475744744
wide,80600,123456,0.9471242124
wide,81100,123456,0.9463198672
wide,81600,123456,0.9461210983
wide,82100,123456,0.9463984233
wide,82600,123456,0.9471431965
wide,83100,123456,0.9463580955
wide,83600,123456,0.9453497988
wide,84100,123456,0.9468967373
wide,84600,123456,0.9471612830
wide,85100,123456,0.9471942327
wide,85600,123456,0.9452959995
wide,86100,123456,0.9454523153
wide,86600,123456,0.9461681504
wide,87100,123456,0.9473222486
wide,87600,123456,0.9475753058
wide,88100,123456,0.9466116030
wide,88600,123456,0.9474144677
wide,89100,123456,0.9467898281
wide,89600,123456,0.9472572197
wide,90100,123456,0.9482589431
wide,90600,123456,0.9482838348
wide,91100,123456,0.9482017339
wide,91600,123456,0.9474837082
wide,92100,123456,0.9478290851
wide,92600,123456,0.9489056670
wide,93100,123456,0.9486131366
wide,93600,123456,0.9477005177
wide,94100,123456,0.9464876459
wide,94600,123456,0.9455959083
wide,95100,123456,0.9459403154
wide,95600,123456,0.9459760319
wide,96100,123456,0.9453032088
wide,96600,123456,0.9457444262
wide,97100,123456,0.9447793499
wide,97600,123456,0.9453183423
wide,98100,123456,0.9463473622
wide,98600,123456,0.9468729369
wide,99100,123456,0.9477856252
wide,99600,123456,0.9485915383
